,District,Year,Month,Rainfall,Inflow From Other States,Consumption,Irrigation,Industry,Domestic,Built-Up,Agricultural,Forest,WasteLands,Wetlands,Waterbodies,District_3,District_6,District_7,District_9,District_10,District_13,District_18,District_20,District_21,District_23,District_24,District_25,District_26
70,10,2024,1,0.0,31.55,14.15,12.98,0.47,0.7,515.14,11464.07,2996.96,1927.41,2013.32,714.67,False,False,False,False,True,False,False,False,False,False,False,False,False
71,10,2024,2,0.01,23.73,11.64,10.55,0.44,0.65,515.14,11464.07,2996.96,1927.41,2013.32,714.67,False,False,False,False,True,False,False,False,False,False,False,False,False
72,10,2024,3,0.0,23.57,13.78,12.62,0.47,0.7,515.14,11464.07,2996.96,1927.41,2013.32,714.67,False,False,False,False,True,False,False,False,False,False,False,False,False
73,10,2024,4,0.7,17.8,6.69,5.57,0.45,0.68,515.14,11464.07,2996.96,1927.41,2013.32,714.67,False,False,False,False,True,False,False,False,False,False,False,False,False
74,10,2024,5,27.34,13.08,5.61,4.45,0.47,0.7,515.14,11464.07,2996.96,1927.41,2013.32,714.67,False,False,False,False,True,False,False,False,False,False,False,False,False
75,10,2023,6,17.01,20.83,3.05,1.92,0.45,0.68,514.07,11461.12,2997.05,1928.68,2010.04,717.21,False,False,False,False,True,False,False,False,False,False,False,False,False
76,10,2024,6,41.68,25.05,6.84,5.71,0.45,0.68,515.14,11464.07,2996.96,1927.41,2013.32,714.67,False,False,False,False,True,False,False,False,False,False,False,False,False
77,10,2023,7,39.73,1294.56,55.76,54.59,0.47,0.7,514.07,11461.12,2997.05,1928.68,2010.04,717.21,False,False,False,False,True,False,False,False,False,False,False,False,False
78,10,2024,7,18.22,1703.86,20.05,18.89,0.47,0.7,515.14,11464.07,2996.96,1927.41,2013.32,714.67,False,False,False,False,True,False,False,False,False,False,False,False,False
79,10,2023,8,8.81,664.47,103.51,102.34,0.47,0.7,514.07,11461.12,2997.05,1928.68,2010.04,717.21,False,False,False,False,True,False,False,False,False,False,False,False,False
80,10,2024,8,52.01,1836.1,170.12,168.95,0.47,0.7,515.14,11464.07,2996.96,1927.41,2013.32,714.67,False,False,False,False,True,False,False,False,False,False,False,False,False
81,10,2023,9,28.98,1005.36,40.38,39.25,0.45,0.68,514.07,11461.12,2997.05,1928.68,2010.04,717.21,False,False,False,False,True,False,False,False,False,False,False,False,False
82,10,2024,9,31.1,1784.6,138.22,137.09,0.45,0.68,515.14,11464.07,2996.96,1927.41,2013.32,714.67,False,False,False,False,True,False,False,False,False,False,False,False,False
83,10,2023,10,0.38,219.07,22.39,21.23,0.47,0.7,514.07,11461.12,2997.05,1928.68,2010.04,717.21,False,False,False,False,True,False,False,False,False,False,False,False,False
84,10,2024,10,25.13,543.97,282.63,281.47,0.47,0.7,515.14,11464.07,2996.96,1927.41,2013.32,714.67,False,False,False,False,True,False,False,False,False,False,False,False,False
85,10,2023,11,8.77,25.45,21.83,20.7,0.45,0.68,514.07,11461.12,2997.05,1928.68,2010.04,717.21,False,False,False,False,True,False,False,False,False,False,False,False,False
86,10,2023,12,1.08,53.2,15.23,14.06,0.47,0.7,514.07,11461.12,2997.05,1928.68,2010.04,717.21,False,False,False,False,True,False,False,False,False,False,False,False,False
